Run,Checkpoint,Modo,Seed,estado,origen,destino
r64_a128_d0,epoch_180_loss_0.1748,dorian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_180_loss_0.1748_dorian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_180_loss_0.1748\dorian_seed2222.flac
r64_a128_d0,epoch_180_loss_0.1748,phrygian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_180_loss_0.1748_phrygian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_180_loss_0.1748\phrygian_seed1111.flac
r64_a128_d0,epoch_180_loss_0.1748,phrygian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_180_loss_0.1748_phrygian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_180_loss_0.1748\phrygian_seed2222.flac
r64_a128_d0,epoch_180_loss_0.1748,lydian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_180_loss_0.1748_lydian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_180_loss_0.1748\lydian_seed1111.flac
r64_a128_d0,epoch_180_loss_0.1748,lydian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_180_loss_0.1748_lydian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_180_loss_0.1748\lydian_seed2222.flac
r64_a128_d0,epoch_180_loss_0.1748,mixolydian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_180_loss_0.1748_mixolydian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_180_loss_0.1748\mixolydian_seed1111.flac
r64_a128_d0,epoch_180_loss_0.1748,mixolydian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_180_loss_0.1748_mixolydian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_180_loss_0.1748\mixolydian_seed2222.flac
r64_a128_d0,epoch_180_loss_0.1748,aeolian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_180_loss_0.1748_aeolian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_180_loss_0.1748\aeolian_seed1111.flac
r64_a128_d0,epoch_180_loss_0.1748,aeolian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_180_loss_0.1748_aeolian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_180_loss_0.1748\aeolian_seed2222.flac
r64_a128_d0,epoch_180_loss_0.1748,locrian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_180_loss_0.1748_locrian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_180_loss_0.1748\locrian_seed1111.flac
